,ID WMO,:  96783,,,,KETERANGAN:,,,
,NAMA STASIUN,:  Stasiun Geofisika Bandung,,,,8888: Data tidak terukur,,,
,LINTANG,:  -6.88356,,,,9999: Tidak Ada Data (tidak dilakukan pengukuran),,,
,BUJUR,:  107.59733,,,,Tavg: Temperatur rata-rata(°C),,,
,ELEVASI,:  791 Meter,,,,RH_avg: Kelembapan rata-rata(%),,,
,,,,,,RR: Curah hujan(mm),,,
,,,,,,ff_avg: Kecepatan angin rata-rata(m/s),,,
TANGGAL,TAVG,RH_AVG,RR,FF_AVG,,,,,
04-01-2024,22.5,91,1.6,0,,,,,
05-01-2024,23.9,82,32.5,0,,,,,
06-01-2024,23.4,87,22.5,0,,,,,
07-01-2024,22.8,90,9.3,0,,,,,
08-01-2024,23.8,85,37.2,0,,,,,
09-01-2024,23.5,86,2.8,0,,,,,
10-01-2024,23.6,88,14.3,0,,,,,
11-01-2024,22.9,91,61.7,0,,,,,
12-01-2024,24.5,76,49.3,0,,,,,
13-01-2024,24.7,76,,0,,,,,
14-01-2024,25.6,74,0,1,,,,,
15-01-2024,25.4,75,0,0,,,,,
16-01-2024,25.9,70,8888,1,,,,,
17-01-2024,24.9,76,,2,,,,,
18-01-2024,24,79,1.9,1,,,,,
19-01-2024,22.7,82,15,1,,,,,
20-01-2024,24.5,71,5.3,1,,,,,
21-01-2024,24.7,75,0.3,1,,,,,
22-01-2024,24.4,75,11.6,2,,,,,
23-01-2024,24.5,77,2.5,0,,,,,
24-01-2024,24.2,77,5.1,1,,,,,
25-01-2024,26,70,4.5,1,,,,,
26-01-2024,25.4,74,0.3,1,,,,,
27-01-2024,25.3,75,0.6,1,,,,,
28-01-2024,25.4,74,,2,,,,,
29-01-2024,24.7,78,0,1,,,,,
30-01-2024,24.8,80,0.3,2,,,,,
31-01-2024,23.5,85,2.6,1,,,,,
01-02-2024,24.2,81,10.8,1,,,,,
02-02-2024,24.7,80,5.6,1,,,,,
03-02-2024,24,80,17.4,1,,,,,
04-02-2024,24.4,76,0,1,,,,,
05-02-2024,24.4,79,0.2,1,,,,,
06-02-2024,23.5,78,3.6,1,,,,,
07-02-2024,23.6,78,0.8,1,,,,,
08-02-2024,25.7,72,0.5,1,,,,,
09-02-2024,25.9,74,0,0,,,,,
10-02-2024,24.3,82,8888,1,,,,,
11-02-2024,24.7,79,9,1,,,,,
12-02-2024,25.5,74,1.2,1,,,,,
13-02-2024,25.5,74,8888,1,,,,,
14-02-2024,24.5,83,0,0,,,,,
15-02-2024,23.6,86,2.8,0,,,,,
16-02-2024,24,86,46.4,0,,,,,
17-02-2024,23.9,87,7.3,0,,,,,
18-02-2024,23.7,85,18.6,1,,,,,
19-02-2024,24.5,84,26.3,0,,,,,
20-02-2024,24.9,83,5.5,0,,,,,
21-02-2024,24.5,81,10.9,1,,,,,
22-02-2024,25.5,74,13,1,,,,,
23-02-2024,25.6,75,6.5,1,,,,,
24-02-2024,24.6,83,5.4,1,,,,,
25-02-2024,23.8,85,29,0,,,,,
26-02-2024,25.4,78,4.5,1,,,,,
27-02-2024,24.9,82,0.2,0,,,,,
28-02-2024,23.9,87,29.3,0,,,,,
29-02-2024,24.7,83,8.2,1,,,,,
01-03-2024,24.5,83,8888,1,,,,,
02-03-2024,24.3,83,27.8,1,,,,,
03-03-2024,24.6,80,4.8,1,,,,,
04-03-2024,24.7,81,0.2,0,,,,,
05-03-2024,24.7,85,4.8,1,,,,,
06-03-2024,24.5,88,11.1,0,,,,,
07-03-2024,24.6,85,20.2,0,,,,,
08-03-2024,25.1,76,1.3,2,,,,,
09-03-2024,22.6,84,5.2,1,,,,,
10-03-2024,24.5,80,2.9,0,,,,,
11-03-2024,24.1,81,0.4,2,,,,,
12-03-2024,24.4,74,9,2,,,,,
13-03-2024,23.8,83,0.3,1,,,,,
14-03-2024,22.3,88,4.9,1,,,,,
15-03-2024,23.2,81,26.7,1,,,,,
16-03-2024,23.7,80,11.1,1,,,,,
17-03-2024,23,82,3.2,1,,,,,
18-03-2024,24.9,71,4.2,2,,,,,
19-03-2024,25.5,59,0,1,,,,,
20-03-2024,25.7,57,0,1,,,,,
21-03-2024,25.7,66,,1,,,,,
22-03-2024,24.9,78,0,0,,,,,
23-03-2024,25.7,78,17.3,0,,,,,
24-03-2024,26,76,1,0,,,,,
25-03-2024,24.4,85,1.2,0,,,,,
26-03-2024,24.9,82,32.1,0,,,,,
27-03-2024,24.3,84,18.8,0,,,,,
28-03-2024,23.6,84,4.3,0,,,,,
29-03-2024,24.3,83,54,0,,,,,
30-03-2024,25.9,76,8.2,0,,,,,
31-03-2024,26.1,73,8888,0,,,,,
01-04-2024,24.8,81,0.4,0,,,,,
02-04-2024,25.9,81,11.6,1,,,,,
03-04-2024,25.4,81,5.6,0,,,,,
04-04-2024,25.5,81,1.7,0,,,,,
05-04-2024,27,72,3,1,,,,,
06-04-2024,25.7,80,,0,,,,,
07-04-2024,26.3,73,9,1,,,,,
08-04-2024,26.4,72,,0,,,,,
09-04-2024,24.3,83,3.8,0,,,,,
10-04-2024,24.3,83,1.5,0,,,,,
11-04-2024,24.9,83,11,0,,,,,
12-04-2024,23.1,88,30.7,0,,,,,
13-04-2024,26.1,75,20.8,0,,,,,
14-04-2024,24.6,83,,0,,,,,
15-04-2024,25.5,81,43.2,0,,,,,
16-04-2024,26.3,75,0.3,0,,,,,
17-04-2024,26.5,72,2.1,1,,,,,
18-04-2024,26.2,68,8888,0,,,,,
19-04-2024,24.4,79,0,0,,,,,
20-04-2024,24.8,81,3.5,0,,,,,
21-04-2024,24.2,84,1.1,0,,,,,
22-04-2024,25.2,84,6.1,0,,,,,
23-04-2024,24.7,84,15.4,0,,,,,
24-04-2024,25.1,81,0.6,0,,,,,
25-04-2024,24.8,85,1.9,0,,,,,
26-04-2024,24.2,85,14.7,0,,,,,
27-04-2024,24.4,84,19,0,,,,,
28-04-2024,25.6,78,6.4,0,,,,,
29-04-2024,26.7,75,8888,1,,,,,
30-04-2024,25.9,80,,0,,,,,
01-05-2024,26.1,81,8888,0,,,,,
02-05-2024,26.1,73,5,0,,,,,
03-05-2024,26.2,73,,0,,,,,
04-05-2024,25.1,76,,1,,,,,
05-05-2024,25.5,72,1.7,0,,,,,
06-05-2024,25.7,68,0,1,,,,,
07-05-2024,26.2,66,,0,,,,,
08-05-2024,25.7,73,,0,,,,,
09-05-2024,25.3,77,9.6,0,,,,,
10-05-2024,25.8,74,0.2,0,,,,,
11-05-2024,24.8,76,,0,,,,,
12-05-2024,26.2,73,0,1,,,,,
13-05-2024,25.6,77,0,0,,,,,
14-05-2024,24.9,73,8888,0,,,,,
15-05-2024,25.9,74,,0,,,,,
16-05-2024,26.3,70,0,0,,,,,
17-05-2024,24.7,76,,0,,,,,
18-05-2024,25.2,75,16.8,0,,,,,
19-05-2024,25,66,,1,,,,,
20-05-2024,25.9,70,0,0,,,,,
21-05-2024,26.2,74,,1,,,,,
22-05-2024,26,74,0,0,,,,,
23-05-2024,25.8,78,,0,,,,,
24-05-2024,24.4,86,0.2,0,,,,,
25-05-2024,24,86,34.7,0,,,,,
26-05-2024,25.2,77,1.6,0,,,,,
27-05-2024,26.3,74,,0,,,,,
28-05-2024,26.2,72,0,0,,,,,
29-05-2024,26.1,73,0,0,,,,,
30-05-2024,26.5,69,0,1,,,,,
31-05-2024,25.7,76,,0,,,,,
01-06-2024,24.4,83,31,0,,,,,
02-06-2024,25,83,9,0,,,,,
03-06-2024,23.9,83,11.3,0,,,,,
04-06-2024,25,75,35,0,,,,,
05-06-2024,25.1,71,8888,1,,,,,
06-06-2024,25.5,72,8888,0,,,,,
07-06-2024,24.7,76,0,0,,,,,
08-06-2024,24.7,74,0.2,0,,,,,
09-06-2024,24.5,77,0,1,,,,,
10-06-2024,24.9,78,8888,0,,,,,
11-06-2024,24.5,81,0,1,,,,,
12-06-2024,24.5,79,5.4,0,,,,,
13-06-2024,24.1,81,1.4,0,,,,,
14-06-2024,25.6,75,0,1,,,,,
15-06-2024,25.3,79,0,0,,,,,
16-06-2024,25.4,78,1.5,1,,,,,
17-06-2024,25.1,71,,0,,,,,
18-06-2024,24.6,79,0,0,,,,,
19-06-2024,24.7,72,0,0,,,,,
20-06-2024,24.6,68,0,1,,,,,
21-06-2024,25.7,66,0,0,,,,,
22-06-2024,23.9,63,,1,,,,,
23-06-2024,24.5,65,0,1,,,,,
24-06-2024,25,73,0,0,,,,,
25-06-2024,23.9,80,0,0,,,,,
26-06-2024,24.7,76,16.3,0,,,,,
27-06-2024,24.9,80,0,0,,,,,
28-06-2024,24.6,82,8.5,0,,,,,
29-06-2024,23.7,85,1,0,,,,,
30-06-2024,25.2,78,36.2,0,,,,,
01-07-2024,24.7,76,8888,0,,,,,
02-07-2024,24.1,80,,0,,,,,
03-07-2024,25.7,69,1,1,,,,,
04-07-2024,23,82,0,0,,,,,
05-07-2024,23.9,79,1.6,0,,,,,
06-07-2024,22.3,87,5.7,0,,,,,
07-07-2024,24,83,8.7,0,,,,,
08-07-2024,,,,1,,,,,
09-07-2024,24.9,77,0,0,,,,,
10-07-2024,24.5,74,8888,0,,,,,
11-07-2024,25,65,0,1,,,,,
12-07-2024,22.9,69,0,1,,,,,
13-07-2024,22.6,66,0,0,,,,,
14-07-2024,22.1,64,0,1,,,,,
15-07-2024,22.1,68,0,1,,,,,
16-07-2024,22.7,77,0,1,,,,,
17-07-2024,23.2,77,0,0,,,,,
18-07-2024,23.8,76,0,0,,,,,
19-07-2024,24.1,73,0,1,,,,,
20-07-2024,23.3,68,0,1,,,,,
21-07-2024,23.8,66,0,1,,,,,
22-07-2024,24.2,69,0,1,,,,,
23-07-2024,24,70,0,1,,,,,
24-07-2024,25.2,67,0,0,,,,,
25-07-2024,23.2,76,0,0,,,,,
26-07-2024,24.3,71,0,0,,,,,
27-07-2024,24.2,69,0,0,,,,,
28-07-2024,24.3,72,0,1,,,,,
29-07-2024,23.7,72,0,1,,,,,
30-07-2024,24.3,69,0,0,,,,,
31-07-2024,24.4,69,0,0,,,,,
01-08-2024,23.9,76,0,1,,,,,
02-08-2024,23.9,80,6.4,0,,,,,
03-08-2024,23.7,85,38,1,,,,,
04-08-2024,24.5,74,8.8,1,,,,,
05-08-2024,24.4,66,8888,1,,,,,
06-08-2024,24.1,68,0,0,,,,,
07-08-2024,24.2,65,0,0,,,,,
08-08-2024,23.5,76,0,1,,,,,
09-08-2024,24.9,73,0,0,,,,,
10-08-2024,24.7,72,0,0,,,,,
11-08-2024,24.7,69,0,0,,,,,
12-08-2024,23.8,61,0,1,,,,,
13-08-2024,24.1,67,0,1,,,,,
14-08-2024,23.9,71,0,1,,,,,
15-08-2024,24.4,67,0,0,,,,,
16-08-2024,24.3,70,0,1,,,,,
17-08-2024,25.2,70,0,0,,,,,
18-08-2024,25.2,65,0,1,,,,,
19-08-2024,25,67,0,0,,,,,
20-08-2024,25,68,0,1,,,,,
21-08-2024,25.1,71,0,0,,,,,
22-08-2024,24.9,71,0,1,,,,,
23-08-2024,25.4,75,0,0,,,,,
24-08-2024,24.8,67,0,1,,,,,
25-08-2024,23.8,70,0,1,,,,,
26-08-2024,24.5,71,0,1,,,,,
27-08-2024,24.5,65,0,1,,,,,
28-08-2024,24.6,63,0,1,,,,,
29-08-2024,25.1,66,0,1,,,,,
30-08-2024,25.1,57,0,0,,,,,
31-08-2024,25.1,64,0,1,,,,,
01-09-2024,26.1,74,0,1,,,,,
02-09-2024,26.6,74,1.5,1,,,,,
03-09-2024,24.9,68,8888,1,,,,,
04-09-2024,25.1,67,8888,0,,,,,
05-09-2024,25,79,0,1,,,,,
06-09-2024,25.9,72,8888,2,,,,,
07-09-2024,25.2,67,0,1,,,,,
08-09-2024,25.1,75,0,1,,,,,
09-09-2024,23.6,84,8888,1,,,,,
10-09-2024,23.1,87,13.5,0,,,,,
11-09-2024,24,79,63.4,1,,,,,
12-09-2024,25.7,68,8888,1,,,,,
13-09-2024,25,65,0,1,,,,,
14-09-2024,24.2,65,0,1,,,,,
15-09-2024,24.5,63,0,1,,,,,
16-09-2024,24.7,58,0,1,,,,,
17-09-2024,25.4,50,0,1,,,,,
18-09-2024,24.1,59,0,1,,,,,
19-09-2024,24,60,0,0,,,,,
20-09-2024,25.2,68,0,1,,,,,
21-09-2024,25.6,71,0,1,,,,,
22-09-2024,26.4,73,0,1,,,,,
23-09-2024,25.6,80,8888,0,,,,,
24-09-2024,23.6,88,9.2,0,,,,,
25-09-2024,24.1,84,17.1,0,,,,,
26-09-2024,24,78,28,0,,,,,
27-09-2024,24.5,82,2.5,0,,,,,
28-09-2024,26.1,76,0.3,0,,,,,
29-09-2024,25.2,81,0,1,,,,,
30-09-2024,25.7,72,8888,1,,,,,
01-10-2024,26.2,69,0,1,,,,,
02-10-2024,26.1,77,8888,0,,,,,
03-10-2024,24.9,79,0,1,,,,,
04-10-2024,24.9,79,0,1,,,,,
05-10-2024,24.7,79,4,0,,,,,
06-10-2024,25.5,72,6.8,1,,,,,
07-10-2024,26.7,68,0,1,,,,,
08-10-2024,26.8,69,0,1,,,,,
09-10-2024,26,73,0,0,,,,,
10-10-2024,24.8,79,0,0,,,,,
11-10-2024,25.7,75,11.3,1,,,,,
12-10-2024,26,73,0,1,,,,,
13-10-2024,26.2,73,0,1,,,,,
14-10-2024,25.8,74,0,1,,,,,
15-10-2024,27.1,66,0.9,1,,,,,
16-10-2024,26.6,49,0,0,,,,,
17-10-2024,24.3,63,0,1,,,,,
18-10-2024,24.7,70,0,1,,,,,
19-10-2024,24.6,72,0,1,,,,,
20-10-2024,25.4,71,0,1,,,,,
21-10-2024,25.2,75,0,1,,,,,
22-10-2024,25.3,74,0,0,,,,,
23-10-2024,26.2,76,0,1,,,,,
24-10-2024,25,82,8888,0,,,,,
25-10-2024,25.1,79,12.8,0,,,,,
26-10-2024,25.1,78,6.5,0,,,,,
27-10-2024,25.8,80,0.2,1,,,,,
28-10-2024,25.1,80,11.3,0,,,,,
29-10-2024,26.5,72,9,1,,,,,
30-10-2024,26.5,62,0,1,,,,,
31-10-2024,24.8,79,0,1,,,,,
01-11-2024,23.8,86,31.5,0,,,,,
02-11-2024,23.9,85,11.5,0,,,,,
03-11-2024,23.7,88,3.9,0,,,,,
04-11-2024,23.5,89,8888,0,,,,,
05-11-2024,24.2,86,8.7,1,,,,,
06-11-2024,24.3,83,5.9,0,,,,,
07-11-2024,24.4,77,0,0,,,,,
08-11-2024,24.6,86,28.4,0,,,,,
09-11-2024,24,87,0.2,0,,,,,
10-11-2024,24,89,8888,0,,,,,
11-11-2024,22.8,96,28.3,0,,,,,
12-11-2024,22.3,94,43.4,1,,,,,
13-11-2024,24.1,87,29.5,0,,,,,
14-11-2024,25.1,75,0,0,,,,,
15-11-2024,24.5,81,0,0,,,,,
16-11-2024,24.5,85,10.2,0,,,,,
17-11-2024,23.5,91,6.2,0,,,,,
18-11-2024,23.2,94,27.7,0,,,,,
19-11-2024,23.1,92,39.3,0,,,,,
20-11-2024,23.5,92,27,0,,,,,
21-11-2024,23.6,93,38.6,0,,,,,
22-11-2024,23.4,90,5.6,0,,,,,
23-11-2024,24.3,89,41.2,0,,,,,
24-11-2024,23,94,24.8,0,,,,,
25-11-2024,24.1,88,10.7,0,,,,,
26-11-2024,24.4,92,3.7,0,,,,,
27-11-2024,23.3,94,7.2,0,,,,,
28-11-2024,24.1,89,31.1,1,,,,,
29-11-2024,25,84,13,1,,,,,
30-11-2024,25.2,82,0,0,,,,,
01-12-2024,24.5,86,5.5,0,,,,,
02-12-2024,24.1,87,15.4,1,,,,,
03-12-2024,23.8,86,8888,1,,,,,
04-12-2024,22.3,95,16.5,0,,,,,
05-12-2024,23.8,90,9.5,1,,,,,
06-12-2024,24.4,86,12,1,,,,,
07-12-2024,24.4,85,8888,1,,,,,
08-12-2024,25.1,84,0,1,,,,,
09-12-2024,22.8,90,3.9,1,,,,,
10-12-2024,25.6,79,0.3,1,,,,,
11-12-2024,25.1,79,0.6,1,,,,,
12-12-2024,25.1,80,1.4,1,,,,,
13-12-2024,26,73,0,1,,,,,
14-12-2024,23.6,87,0.3,1,,,,,
15-12-2024,24.5,90,5.2,1,,,,,
16-12-2024,25.1,81,1,1,,,,,
17-12-2024,25.4,82,2.5,1,,,,,
18-12-2024,23.3,89,2.8,1,,,,,
19-12-2024,24.9,81,6.9,1,,,,,
20-12-2024,24.9,85,1,2,,,,,
21-12-2024,25.1,77,8888,1,,,,,
22-12-2024,25.2,81,0.5,1,,,,,
23-12-2024,24.4,84,0,1,,,,,
24-12-2024,24.6,81,8888,1,,,,,
25-12-2024,23.9,79,8888,1,,,,,
26-12-2024,25.2,75,2.8,1,,,,,
27-12-2024,26.3,70,0,1,,,,,
28-12-2024,25.8,70,1.5,1,,,,,
29-12-2024,25.3,78,0.1,1,,,,,
30-12-2024,24.7,76,0,2,,,,,
31-12-2024,24.4,73,8888,1,,,,,
